Үнэ,Дүүрэг,Талбай (м.кв),Ашиглалтад орсон,Барилгын давхар,Хэдэн давхарт,Цонхны тоо,Гараж
1.5 сая ₮,Хан-Уул,53,2023,12,3,3,Байхгүй
209 сая ₮,Баянгол,"63,46",2023,16,14,3,Байхгүй
72 сая ₮,Сүхбаатар,21,2022,14,12,1,Байхгүй
2.9 сая ₮,Баянзүрх,"57,1",2013,10,4,3,Байгаа
2.7 сая ₮,Баянгол,84,2013,12,5,4,Байгаа
215 сая ₮,Хан-Уул,"61,51",2022,12,9,4,Байхгүй
97 сая ₮,Сүхбаатар,32.55,2023,16,7,1,Байхгүй
220 сая ₮,Хан-Уул,60.88,2014,12,5,3,Байхгүй
284 сая ₮,Баянзүрх,68,2013,12,8,2,Байгаа
3.5 сая ₮,Баянзүрх,45.23,2022,12,12,3,Байхгүй
146 сая ₮,Сүхбаатар,42,2012,5,2,2,Байхгүй
138 сая ₮,Баянзүрх,64м2,2014,10,6,3,Байгаа
129 сая ₮,Баянгол,56,1990,9,6,4,Байхгүй
2.7 сая ₮,Хан-Уул,79.5,2010,5,2,3,Байхгүй
100 сая ₮,Чингэлтэй,"325,83",2010,2,1,8+,Байхгүй
3.8 сая ₮,Хан-Уул,64.92,2022,17,6,4,Байхгүй
4 сая ₮,Чингэлтэй,"115,5",2010,9,4,5,Байгаа
128 сая ₮,Баянзүрх,51.2,2017,12,3,3,Байхгүй
3.1 сая ₮,Сүхбаатар,"75,1",2021,12,5,5,Байхгүй
185 сая ₮,Баянгол,53,2023,15,12,3,Байхгүй
80 сая ₮,Баянзүрх,33.51,2016,6,3,2,Байхгүй
80 сая ₮,Баянзүрх,33.51,2016,6,3,2,Байхгүй
3.9 сая ₮,Хан-Уул,64.92,2022,16,6,4,Байхгүй
2.8 сая ₮,Баянзүрх,26.77,2020,15,10,2,Байхгүй
2.4 сая ₮,Сүхбаатар,94.37,2010,6,3,5,Байхгүй
3.3 сая ₮,Баянзүрх,98.19,2013,16,6,4,Байхгүй
3.3 сая ₮,Баянзүрх,98.19,2013,16,6,4,Байхгүй
90 сая ₮,Сонгинохайрхан,18,1990,9,2,2,Байхгүй
165 сая ₮,Баянзүрх,82.5,2012,10,10,4,Байхгүй
153 сая ₮,Баянзүрх,54,2023,16,14,4,Байхгүй
80 сая ₮,Баянзүрх,34,2014,6,3,1,Байхгүй
3.3 сая ₮,Хан-Уул,94.55,2016,13,2,4,Байхгүй
5.5 сая ₮,Хан-Уул,70,2016,22,1,3,Байхгүй
2.2 сая ₮,Баянзүрх,"46,32",2021,17,15,2,Байхгүй
3 сая ₮,Баянгол,"54,89",2022,16,15,2,Байгаа
228 сая ₮,Баянзүрх,72,2016,12,1,3,Байхгүй
2.5 сая ₮,Баянгол,47,2011,12,8,2,Байхгүй
168 сая ₮,Баянгол,"57,1",2017,12,8,2,Байхгүй
85 сая ₮,Сонгинохайрхан,54,1993,5,1,3,Байхгүй
143 сая ₮,Баянзүрх,55,2011,10,10,5,Байхгүй
72 сая ₮,Баянзүрх,25,2018,15,15,1,Байхгүй
4.8 сая ₮,Баянзүрх,78.39,2014,9,2,4,Байхгүй
2.1 сая ₮,Баянгол,"48,7",2014,5,5,3,Байгаа
2.3 сая ₮,Хан-Уул,49.75,2023,12,2,3,Байхгүй
159 сая ₮,Хан-Уул,60м2,2015,10,9,3,Байгаа
2.2 сая ₮,Чингэлтэй,65.2,2006,10,8,3,Байхгүй
2.7 сая ₮,Баянзүрх,88,2012,12,2,5,Байхгүй
358 сая ₮,Баянгол,99.55,2020,16,2,4,Байхгүй
89 сая ₮,Сонгинохайрхан,18,1993,9,9,2,Байхгүй
165 сая ₮,Хан-Уул,58.34,2020,15,2,3,Байгаа
150 сая ₮,Сонгинохайрхан,хуучнаар 40мкв,1996,9,4,4,Байхгүй
120 сая ₮,Баянгол,52,2019,12,8,3,Байхгүй
77 сая ₮,Баянгол,31,2011,16,4,1,Байхгүй
4.5 сая ₮,Баянзүрх,58.5м2,2020,16,5,2,Байхгүй
290 сая ₮,Баянзүрх,"95,59",2015,14,10,4,Байхгүй
2.1 сая ₮,Сонгинохайрхан,69.7,2010,10,10,3,Байхгүй
160 сая ₮,Сонгинохайрхан,80мкв,1991,9,4,4,Байгаа
69 сая ₮,Баянзүрх,50,2023,12,6,3,Байгаа
3 сая ₮,Хан-Уул,55.67,2021,16,12,2,Байгаа
176 сая ₮,Баянгол,"55,02",2023,6,6,3,Байхгүй
110 сая ₮,Баянгол,51,1980,3,2,2,Байхгүй
3 сая ₮,Сүхбаатар,38,2017,13,5,4,Байхгүй
168 сая ₮,Баянгол,"57,1",2017,12,8,2,Байхгүй
